dataset_name,dataset_number,ner_tagging,number_of_ner_tags
sport_kin.json,1,"{'DATE': ['15 Ukwakira 2023', '', 'uyu mwaka'], 'LOC': ['Kigali', 'Nyamir', 'Ni', 'geria'], 'ORG': ['APR FC', 'Rayon Sports', 'APR'], 'PER': ['Emmanuel Okeke']}",11
sport_kin.json,2,"{'DATE': ['gicamunsi cyo kuwa Gatandatu', 'Nyakanga', 'saa cyenda zuzu'], 'LOC': ['Kigali Arena', 'Rukundo', 'My', 'Nyand', 'Nyandwi'], 'ORG': ['Impinduramatwara FC', 'n', ""'"", 'Intare FC', 'Imp', 'induramatwara FC', 'Muhoza FC', '’'], 'PER': ['Karemera', 'Mbabazi']}",18
sport_kin.json,3,"{'DATE': ['ku wa gatandatu', 'gatanu'], 'LOC': ['Kigali'], 'ORG': ['Gasabo United', 'Nyamirambo Stars'], 'PER': ['Karera Jean Paul', 'Ndayizeye Theoneste']}",7
sport_kin.json,4,"{'DATE': ['Ku cyumweru gishize ku', 'saa cyenda zuzuye'], 'LOC': [""Stade de l'Amitié""], 'ORG': ['Inkuba FC', 'Ubwiza United'], 'PER': ['Jean-Claude Mukamana', 'Harerimana Pierre', 'Maniraguha Jacques', 'Nsabimana Eric']}",9
sport_kin.json,5,"{'LOC': ['Kigali', 'Stade Amahoro'], 'DATE': ['15 Ukwakira 2023'], 'ORG': ['Intare FC', 'n', '’', 'Ingwe SC'], 'PER': ['Kamanzi Jean Luc', 'Ndizeye Felix']}",9
sport_kin.json,6,"{'ORG': ['Gasabo United', 'Nyarugenge FC'], 'LOC': ['Kigali Arena', 'Twisungan'], 'PER': ['Rutabayiro Jean Claude', 'Munezero Alice', 'Rugamba Peter', 'bble']}",8
sport_kin.json,7,"{'DATE': ['si w’', 'ha', 'Kuva mu gitondo cyo kuri uwo munsi', 'saa munani z’amanywa'], 'ORG': ['Fantasia', 'FC Indatabigwi', 'FC Inkundamajoro', 'FC Inkundamajo']}",8
sport_kin.json,8,"{'DATE': ['ku wa Gatandatu', '15 Ukwakira 2023'], 'ORG': ['Gasabo FC', 'Nyamirambo United'], 'LOC': ['Stade Amahoro'], 'PER': ['Ntaganzwa Eric', 'Ntaganzwa', 'Kanyam']}",8
sport_kin.json,9,"{'DATE': ['15 Nyakanga 2023'], 'LOC': ['Stade Mpuzamahanga', 'Kigali', 'Rwanda', 'ku Cyumweru'], 'ORG': ['Intare FC n’Ingabo SC', 'Intare FC', 'Inga', 'bo SC', 'SC'], 'PER': ['Niyonzima Eric', 'Ngendahimana John', 'Mugisha Patrick']}",13
sport_kin.json,10,"{'DATE': ['15 Ukwakira 2023'], 'LOC': ['Nyamirambo', 'Rwanda'], 'ORG': ['Rayon Sports', 'APR FC', 'Rayon', 'APR'], 'PER': ['Mwizerwa Jean Claude', 'Patrick']}",9
showbie_kin.json,1,"{'DATE': ['kwezi kwa Nyakanga'], 'LOC': ['Ki', 'gali', 'Stade Amahoro', 'Kigali', 'Kwezi', 'Remera'], 'PER': ['Kwezi Habimana', 'Kwezi']}",9
showbie_kin.json,2,"{'LOC': ['Kwezi', 'Kigali', 'Sitade Amahoro'], 'PER': ['Kwezi']}",4
showbie_kin.json,3,"{'DATE': ['15 Ukwakira'], 'LOC': ['Kigali', 'Benja'], 'PER': ['Kwizera Benjamin', 'Charly', 'Nina', 'Mani Martin', 'Ben', 'Munabi'], 'ORG': ['BK Arena']}",10
showbie_kin.json,4,"{'PER': ['Kamanzi', 'nzi'], 'DATE': ['2023'], 'LOC': ['Kama']}",4
showbie_kin.json,5,"{'PER': ['Teta Mwiza'], 'LOC': ['Stade Amahoro']}",2
showbie_kin.json,6,"{'LOC': ['Kigali', 'Rwanda', 'Amahor'], 'DATE': ['15 Kanama 2023']}",4
showbie_kin.json,7,"{'LOC': ['Kigali', ""'"", 'A', ""furika y'Iburasirazuba"", 'Teta', 'Stade Amahoro']}",6
showbie_kin.json,8,"{'LOC': ['Kigali', 'Nt', 'Rwanda', 'Ntwali'], 'PER': ['wali']}",5
showbie_kin.json,9,"{'DATE': ['kwezi kwa Kanama', '2023', 'saa kumi z'], 'PER': ['Kabandana Jean'], 'LOC': ['Sitade Amahoro', 'Kabandana', ""majyaruguru y'igi""], 'ORG': ['Karahanyuze Band', 'Queens']}",9
showbie_kin.json,10,"{'LOC': ['Rwanda', 'Kigali', 'Rubanda', 'Stade Amahoro'], 'PER': ['John Uwitonze', 'Kenny Bosco', 'Marie Angel'], 'ORG': ['Afrobeat']}",8
sad_scandal_kin.json,1,"{'LOC': ['Nyabihu', 'Karongi', 'Kigali'], 'PER': ['Nyirahabimana Cecile', 'Nyirahabimana', 'Kamal', 'Nshimiyimana Jean'], 'DATE': ['Ku wa Gatanu', '2023']}",9
sad_scandal_kin.json,2,"{'LOC': ['Nyabugogo', 'Kigali'], 'PER': ['Nyirarukundo Agnes', 'Rukundo Jean', 'Uwase Aline', 'Agnes']}",6
sad_scandal_kin.json,3,"{'LOC': ['Nyamugari'], 'DATE': ['gicamunsi cyo kuwa kabiri'], 'PER': ['Immaculée', 'Im', 'maculée', 'Chantal']}",6
sad_scandal_kin.json,4,"{'LOC': ['Nyabigoma', 'Rugarama', 'Kigal'], 'PER': ['Aline']}",4
sad_scandal_kin.json,5,"{'LOC': ['Kanyantanga', 'Rukerereza', 'Kigali'], 'PER': ['Ny', 'rabatatu', 'Nyirabatatu', 'Musabimana', 'Kamurinda']}",8
sad_scandal_kin.json,6,"{'LOC': ['Gatare'], 'PER': ['Nyirankundwa']}",2
sad_scandal_kin.json,7,"{'LOC': ['Nyamiko'], 'PER': ['Rosine', 'Alice', 'Kevin', 'Jean', 'Jane']}",6
sad_scandal_kin.json,8,"{'LOC': ['Karuhuko', 'Ganza'], 'PER': ['Mukamwezi Janet', 'Ganza']}",4
sad_scandal_kin.json,9,"{'DATE': ['Kanyiramobata'], 'PER': ['Rukundo']}",2
sad_scandal_kin.json,10,"{'LOC': ['Nyamiringa', 'Keza'], 'PER': ['Mukandayisenga Claudine', 'Karega Jado', 'Claudine', 'Jado']}",6
politic_kin.json,1,"{'PER': ['Bwana Gasana Jean Bosco', 'Bwana Gasana'], 'LOC': ['Rugwero', 'Rwanda'], 'ORG': ['OCCU']}",5
politic_kin.json,2,"{'LOC': ['Kigali'], 'PER': ['Nicodeme Rugwiro', 'Bwana Rugwiro', 'Rugwiro'], 'ORG': ['RIB', 'Rwanda Investigation Bureau']}",6
politic_kin.json,3,"{'PER': ['Rugero', 'Ndahiro', 'Rug'], 'LOC': ['Rug']}",4
politic_kin.json,4,"{'LOC': ['Rwanda'], 'PER': ['Jean Bosco Nshimiyimana', 'Nshimiyimana'], 'ORG': [""Minisiteri y'Ubucuruzi n'Inganda""]}",4
politic_kin.json,5,"{'LOC': ['Kigali', 'Rwanda'], 'PER': ['Mariya Mukamana', 'Mari', 'Mariya']}",5
politic_kin.json,6,"{'LOC': ['Kinyarwa', 'Nyabyondo'], 'PER': ['Jean Bosco Nkurunziza', 'Jean Bosco', 'Nkurunziza']}",5
politic_kin.json,7,"{'DATE': ['kwa Nzeri 2023'], 'PER': ['Samuel Habimana']}",2
politic_kin.json,8,"{'LOC': ['Karunji', ""majyepfo ya Afurika y'Iburasirazuba"", 'Nyamaz', 'Rwanda', 'Murenzi'], 'PER': ['Thaddeus Murenzi'], 'ORG': ['RCA', 'nteko'], 'DATE': ['2018']}",9
politic_kin.json,9,"{'PER': ['Samuel Nkurunziza', 'Bwana', 'Nkurunziza', 'Bwana Nkurunziza'], 'LOC': ['Mberakurume']}",5
politic_kin.json,10,"{'LOC': ['Kinya', 'Ryamu'], 'PER': ['Samuel Ndagijimana', 'Ndagijimana']}",4
pol_kin.json,1,"{'ORG': [""Ishyaka ry'Ubusugire n'Ubutabera"", ""IUB) n'Ishyaka rya Demokarasi n'Iterambere"", 'IDI', ''], 'LOC': ['buta', ""Demokarasi n'Iterambere""], 'PER': ['Ntamparirwa Jean', 'Ntamparirwa', 'Kamikazi Rose']}",9
pol_kin.json,2,"{'LOC': ['Ruhuka', 'Ruh'], 'DATE': ['mpera z’uyu mwaka'], 'PER': ['Bwana Mukuru', 'Ingabire'], 'ORG': ['Demokarasi Iharanira Ubwumvikane', 'DIB', 'ishyaka rya Demokarasi Yuzuye', 'DY', 'n', 'ry’Iterambere n’Ubumwe', 'IU']}",12
pol_kin.json,3,"{'LOC': ['Kinyoni', 'Nyandwi'], 'ORG': ['Democratic Front Party', 'DFP', 'mahoro n', 'Ubumwe', 'Peace and Unity Party', 'PUP', 'Green Hope Party', 'GHP', 'shyaka ry', ""Ubumwe bw'Abakozi"", 'Workers Unity Party', 'WUP'], 'PER': ['Bwana Kayitare', 'Mada', 'Mukarubibi', 'Kay']}",18
pol_kin.json,4,"{'LOC': ['Nyamibiro'], 'DATE': ['Uy', 'mwaka', '', 'uyu mwaka'], 'ORG': ['Ishyaka rya Demokarasi y’Akanunu', 'DAK', 'Ishyaka ry’Iterambere ry’u Rwanda', 'IRR'], 'PER': ['Anita Mugwaneza', 'Robert Nkurunziza']}",11
pol_kin.json,5,"{'LOC': ['Nirere', 'Demo', 'kara', 'si n’Ubutabera'], 'ORG': ['Ishyaka ry’Icyerekezo Gishya', 'ICG'], 'PER': ['Paul Rugamba', 'Francine Uwase']}",8
pol_kin.json,6,"{'LOC': ['Ruhinyura', ""Ruhinyura Rw'ejo""], 'DATE': ['2023'], 'PER': ['Nyarwanda', 'Samusoni Rugwiro', 'Rugwiro', 'Ruzira', 'Ishema', 'Rose Mukamana', 'Mukamana', 'Manariyo Bosco. Bosco']}",11
pol_kin.json,7,"{'PER': ['Jean Mwiza', 'Louise Ingabire', 'Bernard Rukundo', 'Louise'], 'ORG': ['""', 'Ishyirahamwe Riharanira Impinduka', 'IRI', '""Iterambere Ridaheza', 'IR', 'Twese Hamwe', 'TH']}",11
pol_kin.json,8,"{'PER': ['Bwana Kamanzi', 'Mada', 'Mugeni', 'Nyarwanda', 'Twagiramungu'], 'LOC': ['bura']}",6
pol_kin.json,9,"{'LOC': ['Nyamweru', 'Nyarucurama', 'Tweterane', 'Demokorasi Nyarwanda'], 'PER': ['Kanyaruhinga Petero', 'Uwamwezi Claudine', 'Nyiramugisha Patrick']}",7
pol_kin.json,10,"{'LOC': ['Nyabi'], 'DATE': ['2023'], 'PER': ['Jeannette Mukamurenzi', 'Jeannette', 'Pierre Habamungu', 'Pierre', 'André Nziza']}",7
nature_kin.json,1,"{'PER': ['Hanyurwimfura Jean-Baptiste', 'Jean-Baptiste'], 'LOC': ['Musanze', 'majyaruguru y’u Rwanda']}",4
nature_kin.json,2,"{'LOC': ['Kigali'], 'PER': ['Kamanzi John', 'John', 'Kamanzi']}",4
nature_kin.json,3,"{'LOC': ['Kanyar', 'Rukumbeli'], 'PER': ['Kanyar', 'a', 'Nyiranshimiyimana']}",5
nature_kin.json,4,"{'LOC': ['Nyabihu', 'Mukunga', 'Rugoma'], 'PER': ['Kan']}",4
nature_kin.json,5,"{'LOC': ['Musanze', 'Busogo', 'N'], 'PER': ['Mugisha Jean', 'Nyiramana Agnes', 'Mugisha'], 'DATE': ['kwezi kwa', 'zeli', 'mu cyumweru cya kabiri']}",9
nature_kin.json,6,"{'PER': ['Kamanzi', 'Nyamir', 'Nya'], 'DATE': ['nyejana']}",4
nature_kin.json,7,"{'PER': ['Manirafasha Jean Baptiste', 'Jean Baptiste'], 'LOC': ['Rugarama', 'Musanze', 'Kigali', 'Nzeli', 'Nyabushake']}",7
nature_kin.json,8,"{'LOC': ['Nyamivu', 'Ga'], 'DATE': [""saa tanu z'ijoro""], 'PER': ['Bwana Karangwa', 'Ny']}",5
nature_kin.json,9,"{'DATE': ['Kanyamajana'], 'LOC': ['Karingan', 'Bukuba', 'Nyagas', 'Ruganda', 'Ka', 'ringan', 'Nyiragongo'], 'PER': ['Karinganire']}",9
nature_kin.json,10,"{'PER': ['Rwema'], 'LOC': ['Nyamicucu', 'Nya', 'Rwema'], 'DATE': ['kanga']}",5
